Challenge_Word,Elkonin_Count,E1,E2,E3,E4,E5,E6,Gold_Coin_set,Image_text
make,3,m,hello,k,,,,hello,
may,2,m,hello,,,,,hello,
face,3,f,hello,s,,,,hello,
ace,2,hello,s,,,,,hello,
cake,3,c,hello,k,,,,hello,
ache,2,hello,k,,,,,hello,
rake,3,r,hello,k,,,,hello,
ray,2,r,hello,,,,,hello,
bake,3,b,hello,k,,,,hello,
shave,3,sh,hello,v,,,,hello,
gate,3,g,hello,t,,,,hello,
ate,2,hello,t,,,,,hello,
sale,3,s,hello,l,,,,hello,
ale,2,hello,l,,,,,hello,
say,2,s,hello,,,,,hello,
save,3,s,hello,v,,,,hello,
take,3,t,hello,k,,,,hello,
bait,3,b,hello,t,,,,hello,
jail,3,j,hello,l,,,,hello,
paid,3,p,hello,d,,,,hello,
aid,2,hello,d,,,,,hello,
pay,2,p,hello,,,,,hello,
jay,2,j,hello,,,,,hello,
wait,3,w,hello,t,,,,hello,
paint,4,p,hello,n,t,,,hello,
snail,4,s,n,hello,l,,,hello,
nail,3,n,hello,l,,,,hello,
train,4,t,r,hello,n,,,hello,
rain,3,r,hello,n,,,,hello,
sail,3,s,hello,l,,,,hello,
tail,3,t,hello,l,,,,hello,
brain,4,b,r,hello,n,,,hello,
chain,3,ch,hello,n,,,,hello,
rail,3,r,hello,l,,,,hello,
maid,3,m,hello,d,,,,hello,
table,4,t,hello,b,l,,,hello,
day,2,d,hello,,,,,hello,
say,2,s,hello,,,,,hello,
play,3,p,l,hello,,,,hello,
may,2,m,hello,,,,,hello,
today,4,t,that_guy,d,hello,,,hello,
away,3,orc,w,hello,,,,hello,
way,2,w,hello,,,,,hello,
okay,3,scare,k,hello,,,,hello,
hay,2,h,hello,,,,,hello,
pray,3,p,r,hello,,,,hello,
vein,3,v,hello,n,,,,hello,
veil,3,v,hello,l,,,,hello,
eight,2,hello,t,,,,,hello,
weight,3,w,hello,t,,,,hello,
they,2,th,hello,,,,,hello,
grey,3,g,r,hello,,,,hello,
prey,3,p,r,hello,,,,hello,
then,3,th,listen,n,,,,listen,
get,3,g,listen,t,,,,listen,
them,3,th,listen,m,,,,listen,
red,3,r,listen,d,,,,listen,
left,4,l,listen,f,t,,,listen,
men,3,m,listen,n,,,,listen,
let,3,l,listen,t,,,,listen,
tell,3,t,listen,l,,,,listen,
next,4,n,listen,x,t,,,listen,
best,4,b,listen,s,t,,,listen,
end,3,listen,n,d,,,,listen,
help,4,h,listen,l,p,,,listen,
yes,3,y,listen,s,,,,listen,
set,3,s,listen,t,,,,listen,
bed,3,b,listen,d,,,,listen,
ten,3,t,listen,n,,,,listen,
head,3,h,listen,d,,,,listen,
sweat,4,s,w,listen,t,,,listen,
wet,3,w,listen,t,,,,listen,
lead,3,l,listen,d,,,,listen,
dread,4,d,r,listen,d,,,listen,
bread,4,b,r,listen,d,,,listen,
spread,5,s,p,r,listen,d,,listen,
thread,4,th,r,listen,d,,,listen,
said,3,s,listen,d,,,,listen,
captain,6,c,mudslide,p,t,listen,n,mudslide,
fountain,6,f,bump_head,n,t,listen,n,bump_head,
mountain,6,m,bump_head,n,t,listen,n,bump_head,
see,2,s,spider,,,,,spider,
three,3,th,r,spider,,,,spider,
seem,3,s,spider,m,,,,spider,
tree,3,t,r,spider,,,,spider,
sleep,4,s,l,spider,p,,,spider,
green,4,g,r,spider,n,,,spider,
keep,3,k,spider,p,,,,spider,
feet,3,f,spider,t,,,,spider,
seed,3,s,spider,d,,,,spider,
need,3,n,spider,d,,,,spider,
meet,3,m,spider,t,,,,spider,
knee,2,n,spider,,,,,spider,
feel,3,f,spider,l,,,,spider,
street,5,s,t,r,spider,t,,spider,
sweet,4,s,w,spider,t,,,spider,
beep,3,b,spider,p,,,,spider,
eat,2,spider,t,,,,,spider,
please,4,p,l,spider,s,,,spider,
leave,3,l,spider,v,,,,spider,
each,2,spider,ch,,,,,spider,
read,3,r,spider,d,,,,spider,
clean,4,c,l,spider,n,,,spider,
real,3,r,spider,l,,,,spider,
hear,2,h,sound,,,,,sound,
heat,3,h,spider,t,,,,spider,
dream,4,d,r,spider,m,,,spider,
sea,2,s,spider,,,,,spider,
mean,3,m,spider,n,,,,spider,
speak,4,s,p,spider,k,,,spider,
very,4,v,hello,r,spider,,,hello,
pretty,5,p,r,listen,t,spider,,listen,
every,4,listen,v,gorilla,spider,,,listen,
funny,4,f,think,n,spider,,,think,
happy,4,h,mudslide,p,spider,,,mudslide,
brief,4,b,r,spider,f,,,spider,
grief,4,g,r,spider,f,,,spider,
field,4,f,spider,l,d,,,spider,
shield,4,sh,spider,l,d,,,spider,
we,2,w,spider,,,,,spider,
me,2,m,spider,,,,,spider,
she,2,sh,spider,,,,,spider,
he,2,h,spider,,,,,spider,
these,4,th,spider,s,,,,spider,
eve,2,spider,v,,,,,spider,
money,4,m,think,n,spider,,,think,
key,2,k,spider,,,,,spider,
her,2,h,gorilla,,,,,gorilla,
other,3,think,th,gorilla,,,,think,
after,4,mudslide,f,t,gorilla,,,mudslide,
letter,4,l,listen,t,gorilla,,,listen,
sister,5,s,poop,s,t,gorilla,,poop,
fern,3,f,gorilla,n,,,,gorilla,
herd,3,h,gorilla,d,,,,gorilla,
winter,5,w,poop,n,t,gorilla,,poop,
faster,5,f,mudslide,s,t,gorilla,,mudslide,
enter,4,spider,n,t,gorilla,,,spider,
church,3,ch,gorilla,ch,,,,gorilla,
curl,3,c,gorilla,l,,,,gorilla,
fur,2,f,gorilla,,,,,gorilla,
burp,3,b,gorilla,p,,,,gorilla,
turn,3,t,gorilla,n,,,,gorilla,
hurt,3,h,gorilla,t,,,,gorilla,
surf,3,s,gorilla,f,,,,gorilla,
churn,3,ch,gorilla,n,,,,gorilla,
burn,3,b,gorilla,n,,,,gorilla,
first,4,f,gorilla,s,t,,,gorilla,
girl,3,g,gorilla,l,,,,gorilla,
shirt,3,sh,gorilla,t,,,,gorilla,
skirt,4,s,k,gorilla,t,,,gorilla,
dirt,3,d,gorilla,t,,,,gorilla,
stir,3,s,t,gorilla,,,,gorilla,
bird,3,b,gorilla,d,,,,gorilla,
work,3,w,gorilla,k,,,,gorilla,
world,4,w,gorilla,l,d,,,gorilla,
worse,4,w,gorilla,r,s,,,gorilla,
worm,3,w,gorilla,m,,,,gorilla,
earn,2,gorilla,n,,,,,gorilla,
learn,3,l,gorilla,n,,,,gorilla,
collar,4,c,orcs,l,pirate,,,orcs,
dollar,4,d,orcs,l,pirate,,,orcs,
six,3,s,poop,x,,,,poop,
is,2,poop,s,,,,,poop,
in,2,poop,n,,,,,poop,
it,2,poop,t,,,,,poop,
if,2,poop,f,,,,,poop,
him,3,h,poop,m,,,,poop,
did,3,d,poop,d,,,,poop,
big,3,b,poop,g,,,,poop,
wish,3,w,poop,sh,,,,poop,
sit,3,s,poop,t,,,,poop,
myth,3,m,poop,th,,,,poop,
crypt,4,c,r,poop,t,,,poop,
quit,4,c,w,poop,t,,,poop,
quick,4,c,w,poop,c,,,poop,
like,3,l,explorer,k,,,,explorer,
five,3,f,explorer,v,,,,explorer,
white,3,w,explorer,t,,,,explorer,
live,3,l,explorer,v,,,,explorer,
ride,3,r,explorer,d,,,,explorer,
write,3,r,explorer,t,,,,explorer,
fine,3,f,explorer,n,,,,explorer,
fire,3,f,explorer,r,,,,explorer,
stripe,5,s,t,r,explorer,p,,explorer,
pine,3,p,explorer,n,,,,explorer,
find,4,f,explorer,n,d,,,explorer,
kind,4,k,explorer,n,d,,,explorer,
wild,4,w,explorer,l,d,,,explorer,
child,4,ch,explorer,l,d,,,explorer,
hind,4,h,explorer,n,d,,,explorer,
my,2,m,explorer,,,,,explorer,
by,2,b,explorer,,,,,explorer,
why,2,w,explorer,,,,,explorer,
try,3,t,r,explorer,,,,explorer,
fly,3,f,l,explorer,,,,explorer,
fry,3,f,r,explorer,,,,explorer,
cry,3,c,r,explorer,,,,explorer,
shy,2,sh,explorer,,,,,explorer,
sky,3,s,k,explorer,,,,explorer,
spy,3,s,p,explorer,,,,explorer,
night,3,n,explorer,t,,,,explorer,
right,3,r,explorer,t,,,,explorer,
high,2,h,explorer,,,,,explorer,
might,3,m,explorer,t,,,,explorer,
light,3,l,explorer,t,,,,explorer,
fight,3,f,explorer,t,,,,explorer,
sigh,2,s,explorer,,,,,explorer,
tight,3,t,explorer,t,,,,explorer,
pie,2,p,explorer,,,,,explorer,
die,2,d,explorer,,,,,explorer,
lie,2,l,explorer,,,,,explorer,
not,3,n,orcs,t,,,,orcs,
on,2,orcs,n,,,,,orcs,
long,4,l,orcs,n,g,,,orcs,
dog,3,d,orcs,g,,,,orcs,
hot,3,h,orcs,t,,,,orcs,
off,2,orcs,f,,,,,orcs,
box,3,b,orcs,x,,,,orcs,
upon,4,think,p,orcs,n,,,think,
got,3,g,orcs,t,,,,orcs,
stop,4,s,t,orcs,p,,,orcs,
saw,2,s,baby_monkey,,,,,baby_monkey,
draw,3,d,r,baby_monkey,,,,baby_monkey,
lawn,3,l,baby_monkey,n,,,,baby_monkey,
jaw,2,j,baby_monkey,,,,,baby_monkey,
claw,3,c,l,baby_monkey,,,,baby_monkey,
want,4,w,orcs,n,t,,,orcs,
water,4,w,orcs,t,gorilla,,,orcs,
cause,3,c,orcs,s,,,,orcs,
fraud,4,f,r,orcs,d,,,orcs,
autumn,4,baby_monkey,t,think,m,,,baby_monkey,
bought,3,b,orcs,t,,,,orcs,
thought,3,th,orcs,t,,,,orcs,
ought,2,orcs,t,,,,,orcs,
caught,3,c,orcs,t,,,,orcs,
taught,3,t,orcs,t,,,,orcs,
home,3,h,scare,m,,,,scare,
those,3,th,scare,s,,,,scare,
close,4,c,l,scare,s,,,scare,
hope,3,h,scare,p,,,,scare,
cone,3,c,scare,n,,,,scare,
tone,3,t,scare,n,,,,scare,
rode,3,r,scare,d,,,,scare,
note,3,n,scare,t,,,,scare,
stroke,5,s,t,r,scare,k,,scare,
smoke,4,s,m,scare,k,,,scare,
joke,3,j,scare,k,,,,scare,
globe,4,g,l,scare,b,,,scare,
got,2,g,scare,,,,,scare,
most,4,m,scare,s,t,,,scare,
open,4,scare,p,listen,n,,,scare,
so,2,s,scare,,,,,scare,
no,2,n,scare,,,,,scare,
over,3,scare,v,gorilla,,,,scare,
old,3,scare,l,d,,,,scare,
told,4,t,scare,l,d,,,scare,
cold,4,c,scare,l,d,,,scare,
coat,3,c,scare,t,,,,scare,
boat,3,b,scare,t,,,,scare,
goat,3,g,scare,t,,,,scare,
moat,3,m,scare,t,,,,scare,
toast,4,t,scare,s,t,,,scare,
boast,4,b,scare,s,t,,,scare,
roast,4,r,scare,s,t,,,scare,
road,3,r,scare,d,,,,scare,
coast,4,c,scare,s,t,,,scare,
loaf,3,l,scare,f,,,,scare,
know,2,n,scare,,,,,scare,
own,2,scare,n,,,,,scare,
show,2,sh,scare,,,,,scare,
grow,3,g,r,scare,,,,scare,
blow,3,b,l,scare,,,,scare,
low,2,l,scare,,,,,scare,
throw,3,th,r,scare,,,,scare,
flow,3,f,l,scare,,,,scare,
goes,3,g,scare,s,,,,scare,
toe,2,t,scare,,,,,scare,
foe,2,f,scare,,,,,scare,
though,2,th,scare,,,,,scare,
dough,2,d,scare,,,,,scare,
soon,3,s,backback,n,,,,that_guy,
school,4,s,c,that_guy,l,,,that_guy,
food,3,f,that_guy,d,,,,that_guy,
mood,3,m,that_guy,d,,,,that_guy,
loop,3,l,that_guy,p,,,,that_guy,
moose,3,m,that_guy,s,,,,that_guy,
snooze,4,s,n,that_guy,z,,,that_guy,
hoot,3,h,that_guy,t,,,,that_guy,
choose,3,ch,that_guy,s,,,,that_guy,
shoot,3,sh,that_guy,t,,,,that_guy,
scoop,4,s,c,that_guy,p,,,that_guy,
proof,4,p,r,that_guy,f,,,that_guy,
too,2,t,that_guy,,,,,that_guy,
noon,3,n,that_guy,n,,,,that_guy,
cool,3,c,that_guy,l,,,,that_guy,
flute,4,f,l,that_guy,t,,,that_guy,
prune,4,p,r,that_guy,n,,,that_guy,
brute,4,b,r,that_guy,t,,,that_guy,
fluke,4,f,l,that_guy,k,,,that_guy,
new,2,n,that_guy,,,,,that_guy,
knew,2,n,that_guy,,,,,that_guy,
stew,3,s,t,that_guy,,,,that_guy,
screw,4,s,c,r,that_guy,,,that_guy,
blew,3,b,l,that_guy,,,,that_guy,
threw,3,th,r,that_guy,,,,that_guy,
crew,3,c,r,that_guy,,,,that_guy,
brew,3,b,r,that_guy,,,,that_guy,
flew,3,f,l,that_guy,,,,that_guy,
grew,3,g,r,that_guy,,,,that_guy,
drew,3,d,r,that_guy,,,,that_guy,
blue,3,b,l,that_guy,,,,that_guy,
glue,3,g,l,that_guy,,,,that_guy,
clue,3,c,l,that_guy,,,,that_guy,
soup,3,s,that_guy,p,,,,backpack,
group,4,g,r,that_guy,p,,,that_guy,
you,1,that_guy,,,,,,that_guy,
cruise,4,c,r,that_guy,s,,,that_guy,
bruise,4,b,r,that_guy,s,,,that_guy,
suit,3,s,that_guy,t,,,,that_guy,
fruit,4,f,r,that_guy,t,,,that_guy,
book,3,l,think,k,,,,think,
look,3,l,think,k,,,,think,
good,3,g,think,d,,,,think,
wood,3,w,think,d,,,,think,
shook,3,sh,think,k,,,,think,
crook,4,c,r,think,k,,,think,
nook,3,n,think,k,,,,think,
foot,3,f,think,t,,,,think,
cook,3,c,think,k,,,,think,
hook,3,c,think,k,,,,think,
put,3,p,think,t,,,,think,
brush,4,b,r,think,sh,,,think,
would,3,w,think,d,,,,think,
could,3,c,think,d,,,,think,
should,3,sh,think,d,,,,think,
out,2,bump_head,t,,,,,bump_head,
house,3,h,bump_head,s,,,,bump_head,
mouse,3,m,bump_head,s,,,,bump_head,
found,3,f,bump_head,d,,,,bump_head,
count,4,c,bump_head,n,t,,,bump_head,
round,4,r,bump_head,n,d,,,bump_head,
noun,3,n,bump_head,n,,,,bump_head,
loud,3,l,bump_head,d,,,,bump_head,
sound,4,s,bump_head,n,d,,,bump_head,
shout,3,sh,bump_head,t,,,,bump_head,
ground,4,g,r,bump_head,d,,,bump_head,
down,3,d,bump_head,n,,,,bump_head,
brown,4,b,r,bump_head,n,,,bump_head,
town,3,t,bump_head,n,,,,bump_head,
now,2,n,bump_head,,,,,bump_head,
cow,2,c,bump_head,,,,,bump_head,
how,2,h,bump_head,,,,,bump_head,
town,3,t,bump_head,n,,,,bump_head,
brown,4,b,r,bump_head,n,,,bump_head,
frown,4,f,r,bump_head,n,,,bump_head,
owl,2,bump_head,l,,,,,bump_head,
drown,4,d,r,bump_head,n,,,bump_head,
gown,3,g,bump_head,n,,,,bump_head,
howl,3,h,bump_head,l,,,,bump_head,
scowl,4,s,c,bump_head,l,,,bump_head,
drought,4,d,r,bump_head,t,,,bump_head,
spoil,4,s,p,howler_monkey,l,,,howler_monkey,
oink,3,howler_monkey,n,k,,,,howler_monkey,
soil,3,s,howler_monkey,l,,,,howler_monkey,
oil,2,howler_monkey,l,,,,,howler_monkey,
foil,3,f,howler_monkey,l,,,,howler_monkey,
coil,3,c,howler_monkey,l,,,,howler_monkey,
boil,3,b,howler_monkey,l,,,,howler_monkey,
noise,3,n,howler_monkey,s,,,,howler_monkey,
join,3,j,howler_monkey,n,,,,howler_monkey,
coin,3,c,howler_monkey,n,,,,howler_monkey,
boy,2,b,howler_monkey,,,,,howler_monkey,
toy,2,t,howler_monkey,,,,,howler_monkey,
joy,2,j,howler_monkey,,,,,howler_monkey,
loyal,3,l,howler_monkey,l,,,,howler_monkey,
royal,3,r,howler_monkey,l,,,,howler_monkey,
but,3,b,think,t,,,,think,
up,2,think,p,,,,,think,
us,2,think,scare,,,,,think,
much,3,m,think,ch,,,,think,
just,4,j,think,s,t,,,think,
run,3,r,think,n,,,,think,
such,3,s,think,ch,,,,think,
must,4,m,think,s,t,,,think,
jump,4,j,think,m,p,,,think,
cut,3,c,think,t,,,,think,
sum,3,s,think,m,,,,think,
hum,3,h,think,m,,,,think,
sun,3,s,think,n,,,,think,
stump,5,s,t,think,m,p,,think,
truck,4,t,r,think,k,,,think,
son,3,s,think,n,,,,think,
won,3,w,think,n,,,,think,
ton,3,t,think,n,,,,think,
some,3,s,think,m,,,,think,
come,3,c,think,m,,,,think,
done,3,d,think,n,,,,think,
dove,3,d,think,v,,,,think,
love,3,l,think,v,,,,think,
tough,3,t,think,f,,,,think,
touch,3,t,think,ch,,,,think,
use,2,that_guy,s,,,,,that_guy,
cube,3,c,that_guy,b,,,,that_guy,
tube,3,t,that_guy,b,,,,that_guy,
mute,3,m,that_guy,t,,,,that_guy,
cute,3,c,that_guy,t,,,,that_guy,
mule,3,m,that_guy,l,,,,that_guy,
fuse,3,f,that_guy,s,,,,that_guy,
music,5,m,that_guy,s,poop,c,,that_guy,
cupid,5,c,that_guy,p,poop,d,,that_guy,
pupil,5,p,that_guy,p,poop,l,,that_guy,
few,2,f,that_guy,,,,,that_guy,
pew,2,f,that_guy,,,,,that_guy,
cue,2,c,that_guy,,,,,that_guy,
hue,2,h,that_guy,,,,,that_guy,
fuel,3,f,that_guy,l,,,,that_guy,
are,1,pirate,,,,,,pirate,
bar,2,b,pirate,,,,,pirate,
car,2,c,pirate,,,,,pirate,
far,2,f,pirate,,,,,pirate,
jar,2,j,pirate,,,,,pirate,
scar,3,s,c,pirate,,,,pirate,
dark,3,d,pirate,k,,,,pirate,
mark,3,m,pirate,k,,,,pirate,
lark,3,l,pirate,k,,,,pirate,
park,3,p,pirate,k,,,,pirate,
shark,3,sh,pirate,k,,,,pirate,
party,4,p,pirate,t,spider,,,pirate,
start,4,s,t,pirate,t,,,pirate,
bark,3,b,pirate,k,,,,pirate,
large,3,l,pirate,g,,,,pirate,
spark,4,s,p,pirate,k,,,pirate,
yard,3,y,pirate,d,,,,pirate,
farm,3,f,pirate,m,,,,pirate,
smart,4,s,m,pirate,t,,,pirate,
tar,2,t,pirate,,,,,pirate,
army,3,pirate,m,spider,,,,pirate,
card,3,c,pirate,d,,,,pirate,
yarn,3,y,pirate,n,,,,pirate,
art,2,pirate,t,,,,,pirate,
hair,2,h,strong_wind,,,,,strong_wind,
share,2,sh,strong_wind,,,,,strong_wind,
pear,2,p,strong_wind,,,,,strong_wind,
dairy,3,d,strong_wind,spider,,,,strong_wind,
carry,3,c,strong_wind,spider,,,,strong_wind,
bear,2,b,strong_wind,,,,,strong_wind,
wear,2,w,strong_wind,,,,,strong_wind,
rare,2,r,strong_wind,,,,,strong_wind,
dare,2,d,strong_wind,,,,,strong_wind,
scare,3,s,c,strong_wind,,,,strong_wind,
carrot,4,c,strong_wind,orcs,t,,,strong_wind,
spare,3,s,p,strong_wind,,,,strong_wind,
tear,2,t,strong_wind,,,,,strong_wind,
stare,3,s,t,strong_wind,,,,strong_wind,
chair,2,ch,strong_wind,,,,,strong_wind,
stairs,4,s,t,strong_wind,s,,,strong_wind,
care,2,c,strong_wind,,,,,strong_wind,
cord,3,c,choice,d,,,,choice,
ford,3,f,choice,d,,,,choice,
cork,3,c,choice,k,,,,choice,
form,3,f,choice,m,,,,choice,
storm,4,s,t,choice,m,,,choice,
born,3,b,choice,n,,,,choice,
corn,3,c,choice,n,,,,choice,
horn,3,h,choice,n,,,,choice,
torn,3,t,choice,n,,,,choice,
fort,3,f,choice,t,,,,choice,
port,3,p,choice,t,,,,choice,
short,3,sh,choice,t,,,,choice,
sport,4,s,p,choice,t,,,choice,
porch,3,p, choice,ch,,,,choice,
torch,3,t,choice,ch,,,,choice,
scorch,4,s,c,choice,ch,,,choice,
force,3,f,choice,s,,,,choice,
gorge,3,g,choice,j,,,,choice,
four,2,f,choice,,,,,choice,
sword,3,s,choice,d,,,,choice,
for,2,f,choice,,,,,choice,
pork,3,p,choice,k,,,,choice,
cork,3,c,choice,k,,,,choice,
board,3,b,choice,d,,,,choice,
cure,2,c,give,,,,,give,
pure,2,p,give,,,,,give,
ensure,4,listen,n,sh,give,,,give,
jury,3,j,give,spider,,,,give,
secure,4,s,listen,c,give,,,give,
mature,4,m,think,t,give,,,give,
fury,3,f,give,spider,,,,give,
insure,4,poop,n,sh,give,,,give,
raw,2,r,baby_monkey,,,,,baby_monkey,
straw,4,s,t,r,baby_monkey,,,baby_monkey,
hawk,3,h,baby_monkey,k,,,,baby_monkey,
dawn,3,d,baby_monkey,n,,,,baby_monkey,
fawn,3,f,baby_monkey,n,,,,baby_monkey,
lawn,3,l,baby_monkey,n,,,,baby_monkey,
crawl,4,c,r,baby_monkey,l,,,baby_monkey,
shawl,3,sh,baby_monkey,l,,,,baby_monkey,
thaw,2,th,baby_monkey,,,,,baby_monkey,